<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	0.72582	0.72770	0.72522	0.72556	3127	0	2
2022.01.03	04:00:00	0.72557	0.72564	0.72394	0.72456	3169	0	0
2022.01.03	08:00:00	0.72456	0.72636	0.72450	0.72551	4071	0	0
2022.01.03	12:00:00	0.72551	0.72604	0.72205	0.72229	4876	0	0
2022.01.03	16:00:00	0.72229	0.72229	0.71842	0.71962	9096	0	0
2022.01.03	20:00:00	0.71962	0.72006	0.71838	0.71905	4048	0	0
2022.01.04	00:00:00	0.71894	0.72070	0.71838	0.71997	3687	0	2
2022.01.04	04:00:00	0.71998	0.72162	0.71947	0.72130	2982	0	0
2022.01.04	08:00:00	0.72130	0.72170	0.72016	0.72115	4475	0	0
2022.01.04	12:00:00	0.72114	0.72167	0.71846	0.72081	5543	0	0
2022.01.04	16:00:00	0.72082	0.72488	0.72048	0.72403	7954	0	0
2022.01.04	20:00:00	0.72403	0.72441	0.72308	0.72403	3035	0	0
2022.01.05	00:00:00	0.72374	0.72444	0.72280	0.72338	3541	0	2
2022.01.05	04:00:00	0.72338	0.72387	0.72232	0.72256	3209	0	0
2022.01.05	08:00:00	0.72257	0.72493	0.72244	0.72472	4592	0	0
2022.01.05	12:00:00	0.72472	0.72617	0.72459	0.72574	5618	0	0
2022.01.05	16:00:00	0.72578	0.72722	0.72556	0.72635	6655	0	0
2022.01.05	20:00:00	0.72632	0.72659	0.72149	0.72213	11523	0	0
2022.01.06	00:00:00	0.72183	0.72224	0.72049	0.72143	3887	0	2
2022.01.06	04:00:00	0.72143	0.72147	0.71698	0.71741	4701	0	0
2022.01.06	08:00:00	0.71738	0.71740	0.71458	0.71565	7551	0	0
2022.01.06	12:00:00	0.71565	0.71776	0.71554	0.71621	7539	0	0
2022.01.06	16:00:00	0.71620	0.71809	0.71489	0.71663	10481	0	0
2022.01.06	20:00:00	0.71662	0.71706	0.71591	0.71616	4664	0	0
2022.01.07	00:00:00	0.71590	0.71773	0.71572	0.71730	3513	0	2
2022.01.07	04:00:00	0.71729	0.71731	0.71571	0.71637	3143	0	0
2022.01.07	08:00:00	0.71639	0.71642	0.71427	0.71554	4385	0	0
2022.01.07	12:00:00	0.71554	0.71698	0.71295	0.71392	8286	0	0
2022.01.07	16:00:00	0.71392	0.71863	0.71383	0.71780	11060	0	0
2022.01.07	20:00:00	0.71780	0.71876	0.71765	0.71812	2981	0	0
2022.01.10	00:00:00	0.71662	0.71932	0.71662	0.71918	4432	0	2
2022.01.10	04:00:00	0.71919	0.71974	0.71879	0.71918	3058	0	0
2022.01.10	08:00:00	0.71918	0.72006	0.71768	0.71893	5712	0	0
2022.01.10	12:00:00	0.71893	0.72024	0.71708	0.71711	6221	0	0
2022.01.10	16:00:00	0.71711	0.71741	0.71490	0.71660	10045	0	0
2022.01.10	20:00:00	0.71659	0.71776	0.71617	0.71735	5607	0	0
2022.01.11	00:00:00	0.71628	0.71892	0.71628	0.71772	4035	0	2
2022.01.11	04:00:00	0.71773	0.71961	0.71738	0.71905	4154	0	0
2022.01.11	08:00:00	0.71907	0.71933	0.71677	0.71844	7351	0	0
2022.01.11	12:00:00	0.71845	0.71882	0.71609	0.71643	5024	0	0
2022.01.11	16:00:00	0.71650	0.72009	0.71549	0.71974	12177	0	0
2022.01.11	20:00:00	0.71975	0.72134	0.71956	0.72093	3645	0	0
2022.01.12	00:00:00	0.72088	0.72163	0.72047	0.72091	3614	0	2
2022.01.12	04:00:00	0.72092	0.72194	0.72064	0.72172	3231	0	0
2022.01.12	08:00:00	0.72173	0.72231	0.72006	0.72117	5558	0	0
